ID,Instituição do 1º autor,País do 1º autor,Localização Geopolitica
E1,"College of Computing and Digital Media, DePaul University",Estados Unidos,Norte Global
E2,Universidade Federal do Ceará - Campus Quixadá,Brasil,Sul Global
E3,University of Melbourne,Austrália,Norte Global
E4,Universiti Utara Malaysia,Malásia,Sul Global
E5,University of Oulu,Finlândia,Norte Global
E6,Pontifícia Universidade Católica do Rio Grande do Sul,Brasil,Sul Global
E7,"Faculty of Cognitive Sciences and Human Development, Universiti Malaysia Sarawak",Malásia,Sul Global
E8,"Escola de Tecnologia, Universidade de Campinas",Brasil,Sul Global
E9,"College of Nursing, University of Florida",Estados Unidos,Norte Global
E10,"Faculty of Business and Law, University of Roehampton",Reino Unido,Norte Global
E11,Universidade Federal do Ceará - Campus Quixadá,Brasil,Sul Global
E12,Military Institute of Science and Technoloy,Bangladesh,Sul Global
E13,"Faculty of Cognitive Sciences and Human Development, Universiti Malaysia Sarawak",Malásia,Sul Global
E14,Universität Würzburg,Alemanha,Norte Global
E15,Pontificia Universidad Católica del Perú,Peru,Sul Global
E16,"Institute of IR4.0 (IIR4.0), Universiti Kebangsaan",Malásia,Sul Global
E17,Pontificia Universidad Católica del Perú,Peru,Sul Global
E18,Universidade Federal do Ceará - Campus Quixadá,Brasil,Sul Global
E19,"Faculty of Industrial Design Engineering, Delft University of Technology",Holanda,Norte Global
E20,"Faculty of Cognitive Sciences and Human Development, Universiti Malaysia Sarawak",Malásia,Sul Global
E21,"Instituto de Investigación en Informática y Sistemas de Información, Universidad Nacional de Santiago Del Estero",Argentina,Sul Global
E22,Universidade Federal de Lavras,Brasil,Sul Global
E23,Universidade de Brasilia,Brasil,Sul Global
E24,"Department of Informatics, Aristotle
University of Thessaloníki, Greece",Grécia,Norte Global
E25,"School of Nursing, Columbia University",Estados Unidos,Norte Global
E26,"Faculty of Cognitive Sciences and Human Development, Universiti Malaysia Sarawak",Malásia,Sul Global
E27,"Faculty of Information Science and Technology, Universiti Kebangsaan",Malásia,Sul Global
E28,National Academy for Educational Research,Taiwan,Norte Global
E29,"Department of Computer Science, Northeastern Illinois University",Estados Unidos,Norte Global
E30,"Department of Computer Graphics Technology, Purdue University",Estados Unidos,Norte Global
E31,"Information Systems Study Program, Faculty of Informatics, Universitas Mikroskil",Indonésia,Sul Global
E32,Université Grenoble Alpes,França,Norte Global
E33,"Department of Informatics and Systems, Faculty of Computer Science, University of Murcia",Espanha,Norte Global
E34,"German Aerospace Center (DLR), Institute for Software Technology",Alemanha,Norte Global
E35,"Department of Electronic Computing, Kharkiv National University of Radio Electronics",Ucrânia,Sul Global
E36,"Information System Department, School of Information Systems, Bina Nusantara University",Indonésia,Sul Global
E37,"Mackenzie Presbyterian University, Computing and Informatics Department",Brasil,Sul Global
E38,"Department of Computer Science and Engineering
Military Institute of Science and Technology (MIST)",Bangladesh,Sul Global
E39,"Architectural Design Computing Program, Department of Informatics, Graduate School, Istanbul Technical University",Turquia,Sul Global
E40,University of Aberdeen,Reino Unido,Norte Global
E41,"Department of Health Information Technology, Neyshabur University of Medical Sciences",Irã,Sul Global
E42,"Institut Teknologi Del, Informatika, Fakultas Informatika Dan Teknik Elektro",Indonésia,Sul Global
E43,"Department of Computer Science and Engineering, Military Institute of Science and Technology",Bangladesh,Sul Global
E44,"College of Computing and Information Sciences (CCIS), Caraga State University",Filipinas,Sul Global
E45,"Department of Medical Social Sciences, Feinberg School of Medicine",Estados Unidos,Norte Global